sign,合図，標識
signal,信号
silent,静かな
silk,絹
silver,銀
simple,単純な，簡単な
since,～以来
site,場所
sky,空，大空
sleep,眠る，寝ている
sleepy,眠い
smell,においがする
smoke,煙
so that ～,とてもなので～だ
so far,これまでは
soil,土
sold,売った
solve,を解決する
somehow,何らかの形で
someone,だれか，ある人
somewhere,どこかに
son,息子
sort,種類
species,種
spelling,綴り
spread,広がる，広まる
square,正方形の
stand,をがまんする
stand up,立ち上がる
stationery,文房具
statue,像
steam,蒸気
step,足元，階段
stop,とまる，停止する
store,を蓄える
stranger,見知らぬ人
strict,厳しい
study,研究，調査
stylish,おしゃれな
succeed,成功する
successful,成功した
sunset,日没
sunshine,日光
super,とても，すごく
supply,供給
support,を支援する，応援する
surely,確かに
surprisingly,驚いたことには
surround,を囲む
survey,調査
survival,存続，生き残ること
survive,生き残る
sustainable,存続可能な
sweet,易しい
swimming,水泳
syllable,音節
tax,税，税金
tear,涙
tell to ～,に～するように言う
terrible,ひどい
That's very kind of you,親切にありがとうございます
themselves,彼ら自身
then,そのとき
then,そうすると
third,3番目
third,3分の1
this way,このように
those,あれらの
though,だけれども
thought,考え
thousands of,何千もの
through,を通り抜けて
tie,ネクタイ
